Movie Title,Sessions,Admits,Net Revenue (MNT),Gross Revenue (MNT),Occupancy %,"ATP (Avg. Ticket Price, MNT)",Genre,Director,Cast,Production Company
Eternals,154,"12,805","97,001,909.32","106,702,100.00",27.20%,"8,332.85","Superhero, Action, Adventure, Fantasy",Chloe Zhao,"Gemma Chan, Richard Madden, Angelina Jolie​",Marvel Studios
Minii Sahiulgagui Zalu,197,"12,806","95,567,147.07","105,121,665.00",21.34%,"8,208.48",Comedy,Tseren Amartuvshin,,
Barbie,236,"12,011","94,348,636.55","103,753,200.00",16.25%,"8,406.24","Fantasy, Comedy, Adventure",Greta Gerwig,"Margot Robbie, Ryan Gosling, Simu Liu",Warner Bros. Pictures
Б1 Давхар,215,"9,222","89,793,636.35","98,750,000.00",18.86%,"10,708.09",Action,Lkhagvadorj Bazarsad,,
Meg 2: The Trench,184,"9,974","89,142,636.42","98,056,900.00",15.20%,"9,831.25","Action, Science Fiction, Thriller",Ben Wheatley,"Jason Statham, Jing Wu, Shuya Sophia Cai",Warner Bros. Pictures
Баавгай болжмор,405,"10,904","88,812,636.50","97,593,900.00",9.04%,"8,442.69",,,,
Луд,227,"10,380","86,982,181.95","95,680,400.00",13.97%,"9,217.42",Horror,Battulga A,,
Uulin namar,311,"10,329","80,141,491.09","88,149,000.00",13.98%,"8,534.13","Romance, Drama, Thriller",Tserenbold Tsegmed ,,
Godzilla x Kong: The New Empire,116,"5,424","52,832,636.35","58,115,900.00",23.22%,"10,714.58","Action, Adventure, Science Fiction",Adam Wingard,"Alexander Skarsgård, Rebecca Hall, Brian Tyree Henry",Legendary Pictures
Золисо 6/16,225,"5,491","52,206,545.46","57,427,200.00",8.98%,"10,458.42","Drama, Thriller, Action",E. Davaasuren,E. Davaasuren,
Immersion,194,"6,502","49,853,295.51","54,790,250.00",8.72%,"8,426.68","Mystery, Horror",Takashi Shimizu,,
95 Зуудний хүн,195,"6,119","49,152,204.58","54,020,550.00",12.54%,"8,828.33",Historical Drama,Davaasuren Enkhbat,,
Room 203,234,"6,379","46,057,545.59","50,663,300.00",7.87%,"7,942.20","Horror, Thriller",Ben J. Weiner,,
Smile,105,"6,338","44,950,054.69","49,430,500.00",19.67%,"7,799.07","Horror, Thriller",Parker FInn,"Sosie Bacon, Jessie T. Usher, Kyle Gallner",Paramount Pictures 
Миний хүүтэй гэрлээч,177,"5,322","44,430,727.33","48,829,800.00",17.72%,"9,175.08",Comedy,Huselbaatar Tsog ,"Byambatsogt Dashnyam, Munkhsaikhan Jijirdoog, Chaminchuluun Luvsangomb",
The Marvels,153,"4,604","43,347,295.44","47,641,150.00",9.28%,"10,347.77","Superhero, Action, Adventure, Science Fiction",Nia DaCosta,"Brie Larson, Teyonah Parris, Iman Vellani",Marvel Studios
Red One,157,"4,732","42,725,909.11","46,984,600.00",15.50%,"9,929.12","Christian, Action, Comedy",Jake Kasdan,"Dwayne Johnson, Chris Evans, Kiernan Shipka",Amazon Studios
Invitation,178,"5,789","41,225,272.86","45,340,600.00",15.88%,"7,832.20","Horror, Thriller",Jessica M. Thompson,"Thomas Doherty, Nathalie Emmanuel, Stephanie Corneliussen",Sony Pictures
Sonic the Hedgehog 3,169,"4,817","40,665,363.69","44,675,200.00",12.50%,"9,274.49","Action, Adventure, Comedy",Jeff Fowler,"Ben Schwartz, James Marsden, Tika Sumpter",Paramount Pictures
The Exorcist Believer,91,"4,938","40,097,022.79","44,082,850.00",16.19%,"8,927.27","Horror, Thriller",David Gordon Green,"Leslie Odom Jr., Ann Dowd, Ellen Burstyn",Blumhouse Productions
Munh Tunh Ymar neg ym avarsan ni,203,"5,790","38,543,636.51","42,334,000.00",14.56%,"7,311.47",,,,
Эмэгтэйч кейс,138,"4,429","38,424,613.68","42,234,450.00",16.99%,"9,535.89",Documentary,Galbayar Dashkhuu,,
Zalgamjlagch,139,"5,179","38,191,000.11","42,007,700.00",14.91%,"8,111.16",Drama,B. Bathuyg ,"Enhjin Altantam, Batnyambuu Enhtaivn, Purevjargal Erdenebileg",
Talk to me,108,"4,399","37,825,090.95","41,607,600.00",17.10%,"9,458.42","Supernatural, Horror",Danny and Michael Philippou,"Sophie Wilde, Miranda Otto, Alexandra Jensen",Causeway Films 
Амьдралын хурд,218,"4,061","37,389,536.37","41,128,490.00",11.16%,"10,127.68",Drama,Alexandr Mieegombo,,
Haikyuu!! The Dumpster Battle,151,"4,265","36,392,000.05","40,031,200.00",12.44%,"9,385.98","Animated, Sports",Susumu MItsunaka,"Ayumu Murase, Yuichi Nakamura, Yuki Kaji",Production I.G
Men Of Plastic,128,"4,358","35,562,545.51","39,048,800.00",18.25%,"8,960.26",Comedy,Lim Jin-sun,"Jung Kyung-ho, CHA WOO JIN, Ma Dong-seok",EDKO Film
Alien: Romulus,147,"3,863","35,328,000.02","38,860,800.00",11.07%,"10,059.75","Science Fiction, Horror",Fede Alvarez,"Cailee Spaeny, Isabela Merced, David Jonsson",20th Century Studios
Black Adam,105,"4,942","35,097,036.46","38,592,100.00",19.48%,"7,809.00","Superhero, Action, Fantasy",Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge, Pierce Brosnan",New Line Cinema
Kingdom of the Planet of the Apes,94,"3,718","34,807,454.55","38,220,000.00",14.34%,"10,298.06",Science Fiction ,Wes Ball,"Freya Allan, Kevin Durand, Owen Teague",20th Century Studios
Ant-Man and Wasp: Quantumania,105,"4,048","34,685,545.49","38,154,100.00",12.89%,"9,425.42","Superhero, Action, Adventure, Science Fiction",Peyton Reed,"Paul Rudd, Evangeline Lilly, Jonathan Majors",Marvel Studios
Mufasa: The Lion King,132,"3,431","34,431,454.53","37,857,300.00",12.29%,"11,033.90","Musical, Drama",Barry Jenkins,"Aaron Pierre, Kelvin Harrison Jr., John Kani",Walt Disney Pictures
Byatshan Chutgurin Husel,113,"4,930","34,277,818.30","37,674,800.00",7.31%,"7,641.95","Histroical, Drama",N. Baysaa,,
Guardians of The Galaxy Vol. 3,89,"3,932","33,716,454.58","37,088,100.00",18.93%,"9,432.38","Superhero, Action, Adventure, Science Fiction",James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista",Marvel Studios
Prey For The Devil,82,"4,622","33,214,036.47","36,529,600.00",18.12%,"7,903.42","Horror, Thriller",Daniel Stamm,"Jacqueline Byers, Virginia Madsen, Colin Salmon",Lionsgate​
Hirteegui Sarnai,157,"4,117","32,402,272.80","35,642,500.00",14.61%,"8,657.40","Romance, Drama",Huselbaatar Tsog,"Bayarmaa Huselbaatar, Amgalanbaatar Odongavaa, Ulziikhuu Sanjaa",Khas Film Studio
Doctor,107,"4,113","31,294,327.35","34,421,600.00",17.01%,"8,368.98","Action, Comedy",Nelson Dilipkumar,"Priyanka Mohan, Sivakarthikeyan, Vinay Rai",KJR Studio 
The Roundup,104,"4,189","31,214,454.63","34,335,900.00",23.08%,"8,196.68","Action, Crime",Lee Sang-yong,"Ma Dong-seok, Son Suk-ku, Park Ji-hwan",B. A. Entertainment
Tsagaan Ereg,151,"3,576","31,133,363.67","34,246,700.00",17.31%,"9,576.82",Drama,Amartuvshin Tsolmon,"Todgerel Erdentuya, OChgerel Chimed, N Baysaa",F Studio
Гэрэл,115,"3,322","30,052,000.01","33,047,700.00",15.99%,"9,948.13",Documentary,Christian Als,"Erdenezaan Puntsag, Tumurhuyag Tsegmed, Chuluuntsetseg Ganbat",Uulen Film
Uilin Ulin Den Buudal,135,"4,020","29,918,636.45","32,910,500.00",15.90%,"8,186.69",Drama,Gombo Enkhbat,,
Ghost,103,"4,129","29,402,363.73","32,342,600.00",13.50%,"7,833.03","Action, Thriller",Tsegmed Orgodol,"TSaschiher Hatanzorig, Todgerel Erdenetuya, Lhagvasuren Samdan",Reaction Production
Suudreer Getegch,185,"3,866","29,231,272.80","32,154,400.00",6.23%,"8,317.23","Fantasy, Thriller",Batbayar Batkhulegiin,,
Demon Slayer: Kimetsu No Yaiba - TTSV,52,"3,681","28,597,090.98","31,456,800.00",21.45%,"8,545.72","Animated, Dark, Fantasy",Haruo Sotozaki,"Aleks Le, Aoi Koga, Mariya Ise",ufotable
The Labyrinth,91,"3,879","28,453,000.08","31,298,300.00",15.43%,"8,068.65","Horror, Thriller",Song Woon,"Kang Chan Hee, Park Yoo-na, Jang Gwang",WiseWolf
Scream VI,105,"3,542","28,244,727.32","31,069,200.00",18.61%,"8,771.65","Horror, Thriller",Matt Bettinelli-Olpin,"Jenna Ortega, Melissa Barrera, Mikey Madison",Spyglass Media Group
Transformers Rise of the Beasts,139,"3,407","27,945,818.19","30,740,400.00",14.32%,"9,202.72","Action, Adventure, Science Fiction",Steve Caple Jr.,"Anthony Ramos, Peter Cullen, Dominique Fishback",Hasbro 
Тиүран,72,"2,714","27,577,818.17","30,327,600.00",16.72%,"11,174.50",Thriller,Aibek Bektemirov,,
The Super Mario Bros. Movie,106,"3,947","27,217,181.91","29,938,900.00",12.14%,"7,585.23","Animation, Adventure, Comedy",Aaron Horvath,"Chris Pratt, Charlie Day, Jack Black",Illumination 
Single Guys,98,"3,476","26,957,636.42","26,957,636.42",17.22%,"8,968.20","Action, Comedy ",Jargalsaikhan Baatar,"Boldbaatar Baatarhuu, Ganbat Ezenmunh, Tsogbadrakh Aldarmaa",Lord Film Studios 
Нойт талхны усны газар,98,"3,300","26,759,454.60","29,435,400.00",12.33%,"8,919.82","Animation, Comedy",Masahiro Matsuura,,
No Rules,100,"3,334","26,071,727.33","28,678,900.00",11.56%,"8,601.95","Drama, Action, Thriller",Erkhemburen Ravjih,,
The Batman,124,"3,598","25,864,454.61","28,450,100.00",16.94%,"7,607.20","Superhero, Action, Crime, Data",Matt Reeves,"Robert Pattinson, Zoë Kravitz, Paul Dano",DC Studios
Spring Garden,78,"2,709","25,754,636.37","28,300,100.00",17.00%,"10,457.77",Horror,Koo Bon,"Kim Joo-ryung, Jo Yoon-hee, Heo Dong-won",JNC Media Group
Demon Slayer: Hashira Training,96,"2,941","25,590,727.30","28,149,800.00",17.35%,"9,517.90","Action, Adventure, Fantasy",Harua Sotozaki,"Aleks Le, Aoi Koga, Mariya Ise",Ufotable
Uncharted,143,"3,496","24,803,818.25","27,284,200.00",8.47%,"7,804.41","Action, Adventure, Fantasy",Ruben Fleischer,"Tom Holland, Sophia Ali, Rudy Pankow",Columbia Pictures
Бидний араншин,149,"2,932","24,693,090.94","27,162,400.00",9.74%,"9,264.12",Drama. Comedy,Tseren Amartuvshin,"Delgersaikhan Danaa, Minjin Ulambat, Erdenezaan Puntsag ",F Studio
Antlers,74,"3,369","24,685,254.61","27,154,800.00",14.38%,"9,036.29",Horror,Scott Cooper,"Jeremy T. Thomas, Jesse Plemons, Keri Russel",Searchlight Pictures
One Piece The Film: Red,94,"3,317","24,310,272.80","26,721,300.00",11.67%,"8,055.86","Animation, Adventure, Fantasy",Goro Taniguchi ,"Ado, Kaori Nazuka, Kenjiro Tsuda",Toei Animation
Project Silence,121,"2,543","24,125,818.18","26,538,400.00",12.71%,"10,435.86",Thrilller,Kim Tae-gon,"Lee Sun-kyun, Ju Ji-hoon, Park Ju-hyun",Blaad Studio
SAW X,71,"2,910","23,990,750.03","26,375,950.00",13.07%,"9,963.90","Horror, Thriller",Kevin Greutert,"Tobin Bell, Shawnee Smith, Synnøve Macody Lund",Starz Entertainment
Mavka,119,"3,413","23,918,363.72","26,310,200.00",14.55%,"7,708.82","Animation, Fantasy",Oleh Malamuzh,"Artem Pivovarov, Khrystyna Soloviy, Nataliya Denisenko",Notorius Pictures
Soiltsoo,68,"3,257","23,724,091.43","26,095,955.00",13.40%,"8,012.27",Drama. Comedy,Davaanyam Bayarsaikhan,,
Застав,171,"2,860","23,443,636.39","25,788,000.00",11.13%,"7,943.39",Action,B. Lhagvadulam,"Hulan Tumur, G. Ganbat, GOrjdagva Myagrmar",Mongol Mind
Oppenheimer,97,"2,742","23,302,909.12","25,639,200.00",19.77%,"9,348.36","Biography, Drama, History ",Chirstopher Nolan,"Cillian Murphy, Florence Pugh, Josh Hartnett",UNiversal Pictures
Joker: Folie à Deux,70,"2,340","22,930,090.91","25,223,100.00",12.69%,"10,779.10","Thriller, Action",Todd Phillips ,"Lady Gaga, Joaquin Phoenix, Harry Lawtey",Warner Bros. Pictures
Fantastic Beasts 3,83,"3,065","22,924,636.42","25,217,100.00",16.49%,"8,227.44","Fantasy, Adventure ",David Yates ,"Mads Mikkelsen, Eddie Redmayne, Jude Law",Warner Bros. Pictures
Trolls Band Together,139,"3,281","22,701,386.42","24,931,150.00",8.50%,"7,598.64","Animation, Comedy, Musical ",Walt Dohrn,"Brianna Mazzola, Daveed Diggs, Troye Sivan",DreamWorks Animation
Bad Guys,119,"3,511","22,077,454.62","24,285,200.00",12.60%,"6,916.98","Animation, Comedy ",Pierre Perifel,"Sam Rockwell, Richard Ayoade, Anthony Ramos",DreamWorks Animation
Хүй,128,"2,533","21,712,068.21","23,960,700.00",12.88%,"8,576.40",Drama ,Bat-Orgil Batkhuu,"N. Badmaa, N. Ider, H.Nahia",Lotus Pictures
Surguuliin Suns,135,"3,041","21,476,090.98","23,623,700.00",8.81%,"7,768.40",Drama,Bujin Soyolbaatar ,,Prostar
Clifford the Big Red Dog,105,"3,227","21,107,818.26","23,187,800.00",15.48%,"7,185.56","Animation, Comedy",Walt Becker,"Darby Camp, Jack Whitehall, Izaac Wang",Paramount Pictures​
Wonka,146,"2,915","21,034,090.93","23,102,500.00",9.82%,"7,925.60","Fantasy, Adventure ",Paul KIng,"Timothée Chalamet, Olivia Colman, Sally Hawkins",Warner Bros. Pictures
The Wild Robot,146,"2,544","20,853,545.49","22,936,700.00",8.43%,"9,016.30","Animation, Adventure ",Gavin Hood,"Kit Connor. Pedro Pascal, Mark Hamill",20th Century Studios
Venom: Let There Be Carnage,89,"2,778","20,708,000.06","22,778,800.00",18.27%,"8,199.71","Action, Science Fiction, Superhero",Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams",Columbia Pictures
Morbius,80,"2,811","20,536,090.97","22,589,700.00",14.18%,"8,036.18","Action, Science Fiction, Superhero",Daniel Espinosa,"Jared Leto, Matt Smith, Adria Arjona",Columbia Pictures
Ulaan Tsetseg,93,"2,691","20,396,600.05","22,435,700.00",11.69%,"8,337.31",Drama,Batmunkh Sukhbaatar,"Undarmaa Gonchig, Huntsenguun Battulga, Boldbaatar Munhbat",U Film
Migration,184,"2,796","20,375,181.87","22,395,200.00",5.17%,"8,009.73","Animation, Adventure, Fantasy",Benjamin Renner ,"Tresi Gazal, Awkwafina, Kumail Nanjiani",Illumination Entertainment​
Dune Part Two,102,"1,957","20,193,545.44","22,212,900.00",11.84%,"11,350.49","Science Fiction, Adventure, Drama",Denis Villeneuve ,"Timothée Chalamet, Zendaya, Rebecca Ferguson",Legendary Pictures
Гурван бүлны тарчлаан,65,"2,191","20,051,909.10","22,057,100.00",18.89%,"10,067.14",Drama ,Bat-Orgil Batkhuu,,
Hair 2,77,"2,410","19,927,636.39","21,920,400.00",17.40%,"9,095.60","Drama, Romance",Tuvshinbayr Dashgerel,"Erdenezaan Puntsag, Batmend Baast, Batsumiya Batdorj",HERUB Entertainment
Soulmate,87,"2,882","19,740,072.79","21,712,400.00",14.62%,"7,533.80","Drama, Romance",HurelbaatarTsogt,"Dorjnanjid Byamba, Ujin Buyanjargal, Enhbayar Dambasuren",Red Point Media
Aldagdsan Udruud,91,"2,611","19,666,272.78","21,632,900.00",13.88%,"8,285.29","Drama, Action",Garamhand Baynjargal,"Tenuun-Erdene Garamhand, Amgalanbaatar Odongavaa, Michidmaa Tsatsralt",Nandii Pictures
The Witch: Part 2. The Other One,57,"2,681","19,348,545.51","21,283,400.00",15.55%,"7,938.60","Action, Thriller",Park Hoon-jung,"Shin Si-ah, Park Eun-bin, Seo Eun-soo",Studio&NEW
BTS: Yet To Come in Cinemas,26,"1,180","19,309,090.95","21,240,000.00",18.31%,"18,000.00",Documentary,Junsoo Park,"Kim Nam-joon, Kim Seok-jin, Min Yoon-gi",HYBE Corporation
The Pope's Exorcist,45,"2,361","19,159,181.85","21,075,100.00",17.93%,"8,926.34","Horror, Thriller",Julius Avery,"Russell Crowe, Alex Essoe, Daniel Zovatto",Screen Gems
The Garfield Movie,79,"2,384","18,967,363.67","20,846,100.00",11.66%,"8,751.72","Animation, Comedy",Mark Dindal,"Chris Pratt, Samuel L. Jackson, Ving Rhames",Alcon Entertainment
Smile 2,75,"1,941","18,908,545.45","20,799,400.00",16.76%,"10,745.82","Horror, Thriller",Parker FInn,"Naomi Scott, Ray Nicholson, Kyle Gallner",Paramount Pictures
Dungeons and Dragons: Honor Among Thieves,86,"2,267","18,002,909.12","19,802,200.00",11.33%,"8,734.98","Action, Adventure, Fantasy",John Francis Daley,"Chris Pine, Michelle Rodriguez, Regé-Jean Page",Paramount Pictures
Etgeed,114,"2,354","17,810,363.68","19,591,400.00",8.17%,"8,322.60",Drama,Tseren Amartuvshin,"Erhembayr Ganbold, Yalalt Namsrai, Selenge Chadraabal",Hero
Namaig Avaad Uldeech 2,59,"2,191","17,723,363.66","19,495,700.00",25.06%,"8,898.08","Comedy, Romance",Tseren Amartuvshin,,
Hacker,106,"2,438","17,617,090.95","19,378,800.00",14.95%,"7,948.65","Thriller, Drama",Nekfeu ,"Chris Hemsworth, Viola Davis, Tang Wei",Legendary Pictures
Ghost Station,66,"2,081","17,085,454.57","18,790,000.00",15.88%,"9,031.23","Horror, Thriller",Yong-ki Jeong,"Kim Bo-ra, Kim Jae-hyun, Shin So-yul",Megabox Plus M
Cobweb,69,"1,951","16,867,454.57","18,554,200.00",17.54%,"9,510.10","Horror, Thriller",Samuel Bodin,"Song Kang-ho, Lim Soo-jung, Oh Jung-se",Anthology Studios
Deed ail,99,"1,929","16,747,909.11","18,422,700.00",15.66%,"9,550.39",Drama,Bazarragchaa Otgontuul,"Battulga Ganbar, Narhajid N, Adiya Rentsenhorloo",Black Zebra
Ainbo,92,"2,653","16,691,803.69","18,394,400.00",16.49%,"6,918.56","Animation, Adventure",Richard Claus ,"Lola Raie, Naomi Serrano, Dino Andrade",Tunche Films
The Boogeyman,52,"2,006","16,545,363.66","18,199,000.00",15.94%,"9,072.73","Horror, Thriller",Rob Savage,"Sophie Thatcher, Chris Messina, Vivien Lyra Blair",20th Century Studios
Don't Look At The Demon,49,"2,050","16,370,072.76","18,004,200.00",23.81%,"8,782.54","Horror, Thriller",Brad Douglas,"Fiona Dourif, Harris Dickinson, Malin Crépin",Ghost River Pictures
Eejdee,60,"1,930","16,014,818.21","17,616,300.00",11.72%,"9,127.62","Horror, Thriller",Michael Pandolto ,"Molly C. Quinn, Jake Horowitz, Sean Gunn",Divide/Conquer
Huh Tavilan,87,"2,031","15,761,454.58","17,337,600.00",19.16%,"8,536.48",Drama,Altantuya Tumurbaatar ,"Ji Il-joo, Park Ji-yeon, Cho Kyung-hun",Joy N Cinema
Agnes,46,"2,097","15,524,145.50","17,073,200.00",23.14%,"8,141.73","Horror, Thriller",Mickey Reece,"Nanoka Hara, Hokuto Matsumura, Eri Fukatsu",CoMix Wave Films
